AVG	ENTROPY	FLAG	MEDIAN	MODE	P16	P2P5	P84	P97P5
0.0593701	-4.84134	0	0.0333924	0	-0.308709	-0.660294	0.399405	0.695763
-0.19169	-6.00468	0	-0.0921767	0.3	-1.02818	-2.15455	0.466	1.45208
-0.6096	-6.02902	0	-0.540094	-0.15	-1.47197	-2.48	0.161957	0.725926
-0.0986799	-6.17543	0	-0.0755433	0	-1.01875	-1.99375	0.756395	1.50625
-0.64473	-5.80847	0	-0.584266	-0.6	-1.36875	-2.26471	-0.00238099	0.522581
-0.85334	-5.86158	0	-0.787187	-0.45	-1.61695	-2.525	-0.193204	0.354
-0.78578	-5.96143	0	-0.762414	-0.85	-1.56786	-2.47647	-0.0775861	0.595455
-0.65584	-5.8889	0	-0.622727	-0.6	-1.42714	-2.28462	0.0362246	0.62
-0.71889	-5.8612	0	-0.655986	-0.5	-1.46226	-2.36429	-0.0542015	0.46591
-0.98914	-5.83198	0	-0.955	-0.8	-1.71218	-2.62667	-0.316667	0.221667
-0.96049	-5.87083	0	-0.922258	-0.9	-1.71972	-2.59	-0.295361	0.288
-0.93136	-5.83237	0	-0.891615	-0.8	-1.65974	-2.5	-0.282479	0.303847
-0.62887	-6.06763	0	-0.591985	-0.5	-1.457	-2.4375	0.142308	0.796552
-0.75713	-6.05037	0	-0.738298	-0.25	-1.59841	-2.5119	0.0104938	0.716667
-0.70637	-5.84044	0	-0.678235	-0.65	-1.42903	-2.30294	-0.0586775	0.555556
-0.57322	-5.97892	0	-0.507037	0	-1.39744	-2.37955	0.173661	0.707895
-1.1203	-5.81416	0	-1.08125	-0.9	-1.82164	-2.68421	-0.483197	0.0875002
-1.0543	-5.84157	0	-1.03483	-0.85	-1.78115	-2.59687	-0.407658	0.191936
-0.92932	-5.92388	0	-0.903	-0.75	-1.70952	-2.56875	-0.22451	0.400001
-0.69457	-5.8657	0	-0.636039	-0.3	-1.43169	-2.42632	-0.0369317	0.54091
