PLATEID	FIBERID	RA	DEC	PRIMTARGET	SECTARGET	Z	Z_ERR	Z_WARNING	V_DISP	V_DISP_ERR	SN_MEDIAN	E_BV_SFD	ZTWEAK	ZTWEAK_ERR
718	268	331.785	-9.36217	64	0	0.0820182	2.06884e-05	0	159.472	10.2735	17.201	0.0352286	0	0
720	309	334.418	-9.19784	6208	0	0.0937725	2.13526e-05	0	198.335	8.02048	22.8633	0.069813	0	0
736	148	334.353	12.523	96	0	0.0804337	1.69196e-05	0	243.562	7.22924	30.5857	0.0809913	0	0
649	562	358.778	-9.37558	6240	0	0.0740831	1.59196e-05	0	244.185	7.20266	30.9397	0.0360989	0	0
407	552	38.1674	0.260103	96	0	0.0205609	5.50256e-06	0	168.307	2.48135	62.9286	0.0278958	0	0
641	204	323.159	-8.40428	96	0	0.0958835	9.37725e-06	0	212.412	9.95234	19.6101	0.0386416	0	0
725	135	345.948	-10.3082	96	0	0.0772611	1.80002e-05	0	138.049	7.47402	21.2819	0.0409339	0	0
723	420	341.453	-8.52754	96	0	0.0815499	1.65994e-05	0	165.651	6.47082	24.9103	0.040596	0	0
398	77	20.0964	-0.078961	6752	0	0.0774105	1.65137e-05	0	333.071	8.03827	36.5142	0.0351123	0	0
731	318	322.327	11.201	96	0	0.0891051	2.17805e-05	0	259.956	8.43931	26.0217	0.079982	0	0
725	319	344.855	-9.49698	96	0	0.0791353	1.56473e-05	0	230.555	6.5851	33.193	0.036978	0	0
675	221	340.761	-0.231095	96	0	0.0578371	1.05036e-05	0	192.418	4.66973	42.1465	0.0641317	0	0
718	47	333.132	-9.01038	96	0	0.0700134	1.13033e-05	0	277.911	4.98257	51.0975	0.0471853	0	0
1094	568	353.857	1.05907	96	0	0.0843846	1.61129e-05	0	322.98	7.74594	38.6886	0.0457822	0	0
665	40	29.0991	-9.6267	96	0	0.0528776	1.38596e-05	0	238.163	6.66772	34.0119	0.0219518	0	0
1178	254	326.02	-8.45967	96	0	0.0537551	1.33271e-05	0	168.904	5.7129	30.06	0.0464971	0	0
423	356	17.8092	14.8782	96	0	0.0602051	1.44748e-05	0	275.304	6.14743	37.3685	0.0465788	0	0
749	564	358.693	15.622	96	0	0.073572	1.57569e-05	0	200.793	6.91385	27.048	0.0568836	0	0
646	198	351.615	-9.86088	96	0	0.097663	1.55542e-05	0	238.41	8.39017	27.3207	0.0294701	0	0
720	142	335.886	-9.07719	96	0	0.0851583	1.95302e-05	0	221.168	8.90812	26.2972	0.0465708	0	0
744	103	348.744	14.09	96	0	0.0829862	1.66847e-05	0	196.868	6.99896	26.1756	0.0520556	0	0
718	316	331.63	-9.5278	64	0	0.0821787	2.33687e-05	0	174.047	8.24179	22.8425	0.0339905	0	0
657	591	13.8708	-9.29277	96	0	0.0550941	1.3887e-05	0	267.514	6.75525	36.3271	0.0413314	0	0
746	262	351.108	13.9723	96	0	0.0424193	9.79415e-06	0	321.691	4.77816	59.5729	0.0477782	0	0
730	234	321.599	10.7775	96	0	0.0978787	1.89993e-05	0	232.808	7.41645	26.4938	0.0606011	0	0
695	575	19.6372	1.15855	96	0	0.0442368	1.05849e-05	0	209.378	4.56852	40.0285	0.034273	0	0
641	65	324.042	-8.22139	96	0	0.0849861	1.74002e-05	0	238.896	8.31573	28.3887	0.0317978	0	0
721	267	337.106	-9.62287	96	0	0.0832622	1.3485e-05	0	279.488	5.72327	38.1823	0.0523741	0	0
1198	324	133.505	40.2286	96	0	0.087306	1.97322e-05	0	230.295	8.50613	25.2606	0.0260592	0	0
1051	389	229.774	45.0322	96	0	0.0644759	1.34831e-05	0	197.665	5.69746	30.2093	0.0234117	0	0
974	297	255.638	33.5167	6752	0	0.0863756	1.58132e-05	0	319.623	7.73651	36.6352	0.0257753	0	0
1017	262	177.025	54.6463	96	0	0.0598734	1.601e-05	0	238.145	7.58058	29.4329	0.0130981	0	0
352	366	258.12	64.0608	96	0	0.0734653	2.37185e-05	0	272.278	9.93482	24.3354	0.0254143	0	0
1392	227	239.583	27.2334	4192	0	0.0908067	2.92487e-05	0	272.619	13.6122	20.0469	0.0441656	0	0
1321	79	205.938	55.6338	64	0	0.0682241	1.47811e-05	0	219.072	6.88795	31.0279	0.00999278	0	0
