AVG	ENTROPY	FLAG	MEDIAN	MODE	P16	P2P5	P84	P97P5
-11.4215	-5.65767	0	-11.3359	-11.15	-12.0342	-13.17	-10.8582	-10.3853
-11.4726	-5.89752	0	-11.354	-11.1	-12.2267	-13.4735	-10.7799	-10.3333
-11.5066	-5.94748	0	-11.3807	-11.3	-12.3491	-13.4545	-10.7889	-10.2625
-12.3647	-5.8815	0	-12.3245	-12.35	-13.1031	-14.025	-11.6902	-11.1053
-12.445	-5.96914	0	-12.4207	-12.55	-13.2507	-14.1318	-11.723	-11.0538
-12.135	-5.88217	0	-12.0827	-12.05	-12.8956	-13.787	-11.4532	-10.8978
-12.6919	-6.56926	0	-12.6455	-12.25	-13.9722	-15.1507	-11.5459	-10.5952
-12.4511	-6.33516	0	-12.3129	-11.85	-13.6372	-14.6381	-11.4643	-10.78
-12.9482	-6.54126	0	-12.9039	-12.8	-14.167	-15.3909	-11.84	-10.8297
-12.3595	-5.98835	0	-12.3292	-12.55	-13.1579	-14.1184	-11.6294	-10.95
-11.7971	-5.96729	0	-11.7165	-11.4	-12.5937	-13.66	-11.0571	-10.5538
-12.0855	-5.90736	0	-12.0348	-11.85	-12.8271	-13.8611	-11.4023	-10.8017
-11.6175	-5.92785	0	-11.5329	-11.45	-12.3906	-13.4393	-10.9393	-10.3283
-11.8898	-5.83913	0	-11.8011	-11.55	-12.6151	-13.7318	-11.228	-10.752
-12.121	-5.91167	0	-12.046	-11.6	-12.8952	-13.87	-11.4046	-10.9288
-11.8957	-5.87779	0	-11.8211	-11.4	-12.644	-13.6857	-11.2004	-10.6923
-12.3642	-6.2665	0	-12.2258	-11.9	-13.4847	-14.5238	-11.4091	-10.8413
-12.1168	-5.91585	0	-12.0482	-11.8	-12.9073	-13.8583	-11.4175	-10.8717
-12.3455	-5.91925	0	-12.3312	-12.25	-13.0963	-13.9783	-11.6418	-10.978
-11.9498	-5.79079	0	-11.8779	-11.6	-12.6486	-13.6308	-11.3273	-10.8241
-11.9175	-5.87845	0	-11.8388	-11.55	-12.6648	-13.675	-11.2348	-10.7205
-11.8781	-5.8765	0	-11.8022	-11.5	-12.6446	-13.6441	-11.2024	-10.6643
-12.01	-6.03409	0	-11.9744	-11.8	-12.8357	-13.8167	-11.26	-10.55
