MEDIAN	P16	P84	P2P5	P97P5	MODE	AVG
10.5925	10.5047	10.6778	10.4291	10.7576	10.5967	10.604
10.426	10.3317	10.5079	10.2645	10.5886	10.4567	10.4353
10.2359	10.1474	10.309	10.0762	10.3776	10.27	10.2432
10.3861	10.2936	10.4703	10.2281	10.5487	10.41	10.3965
10.407	10.3176	10.4942	10.2417	10.5849	10.3867	10.4192
10.5382	10.4488	10.6219	10.3814	10.7112	10.5733	10.5505
10.4745	10.3874	10.5602	10.3081	10.6375	10.48	10.4858
10.3281	10.24	10.4084	10.1644	10.4784	10.3867	10.3376
10.5001	10.4076	10.5857	10.3423	10.6673	10.5267	10.5111
10.4858	10.3934	10.5772	10.3218	10.668	10.5033	10.4983
10.5265	10.4344	10.6123	10.3667	10.6893	10.55	10.5373
10.5648	10.4662	10.6629	10.3893	10.8019	10.62	10.5804
10.6948	10.6055	10.7792	10.5356	10.8671	10.7367	10.7069
10.5903	10.5001	10.6782	10.429	10.7588	10.62	10.6021
10.4646	10.3736	10.5476	10.2998	10.6326	10.4567	10.4752
10.4525	10.3627	10.536	10.2831	10.6154	10.5033	10.4624
10.5493	10.4584	10.6288	10.3818	10.7032	10.5967	10.5576
10.4733	10.3804	10.565	10.3123	10.6586	10.5033	10.486
10.4942	10.4011	10.5797	10.331	10.6608	10.5267	10.5047
10.5008	10.4122	10.5754	10.3423	10.6449	10.5267	10.5087
10.1168	10.0148	10.2232	9.93063	10.3293	10.13	10.1316
10.218	10.1246	10.3013	10.0515	10.3856	10.2467	10.2277
10.5048	10.4132	10.5972	10.3394	10.6978	10.5033	10.5185
10.366	10.275	10.4556	10.205	10.5561	10.3867	10.3795
